"State","abortionRate","totalAbortions","totalBirths","abortionClinics","abortionRatio"
"Wyoming","1.3000","140","6903","2","0.0199"
"South Dakota","3.1000","500","12134","1","0.0396"
"Kentucky","3.8000","3200","54752","1","0.0552"
"Idaho","3.9000","1290","22181","3","0.0550"
"Missouri","4","4710","73034","3","0.0606"
"Mississippi","4.3000","2550","37357","1","0.0639"
"West Virginia","4.4000","1430","18675","1","0.0711"
"Utah","4.4000","2990","48585","3","0.0580"
"South Carolina","5.3000","5120","57029","4","0.0824"
"Nebraska","5.5000","2020","25821","3","0.0726"
"Arkansas","5.5000","3200","37520","3","0.0786"
"Wisconsin","5.9000","6360","64975","3","0.0892"
"Indiana","5.9000","7710","82170","6","0.0858"
"Oklahoma","6.2000","4780","50214","4","0.0869"
"Iowa","6.3000","3760","38430","8","0.0891"
"Alabama","6.4000","6110","58941","5","0.0939"
"North Dakota","7.9000","1160","10737","1","0.0975"
"Montana","8.3000","1580","11799","5","0.1181"
"Alaska","8.6000","1260","10445","4","0.1076"
"Maine","8.8000","2040","12298","16","0.1423"
"Tennessee","9.2000","12140","81016","8","0.1303"
"New Hampshire","9.2000","2210","12116","4","0.1543"
"Arizona","9.2000","12400","81872","8","0.1315"
"Texas","9.4000","55440","382050","21","0.1267"
"Ohio","9.4000","20630","136832","9","0.1310"
"Minnesota","10.1000","10740","68595","7","0.1354"
"Virginia","10.2000","17210","100391","16","0.1463"
"Delaware","10.5000","1900","10855","4","0.1490"
"Louisiana","10.6000","9920","61018","4","0.1398"
"Colorado","10.9000","12390","64382","18","0.1614"
"Vermont","11.4000","1300","5655","6","0.1869"
"New Mexico","11.7000","4620","23767","6","0.1628"
"Oregon","11.9000","9640","43631","16","0.1810"
"Hawaii","12","3200","17517","4","0.1545"
"Washington","12.1000","17740","87562","40","0.1685"
"Kansas","12.2000","6830","36519","4","0.1576"
"Pennsylvania","13.1000","31260","137745","18","0.1850"
"Massachusetts","13.5000","18590","70702","19","0.2082"
"Michigan","14.2000","26630","111426","21","0.1929"
"North Carolina","14.6000","29500","120125","14","0.1972"
"Nevada","16.4000","9690","35756","7","0.2132"
"California","16.4000","132680","471658","161","0.2195"
"Illinois","16.6000","42080","149390","25","0.2198"
"Rhode Island","16.7000","3500","10638","2","0.2476"
"Georgia","16.9000","36330","129243","15","0.2194"
"Connecticut","17.7000","11910","35221","26","0.2527"
"Florida","18.6000","71050","223630","65","0.2411"
"Maryland","25","29800","71641","25","0.2938"
"New York","26.3000","105380","229737","113","0.3145"
"New Jersey","28","48110","101250","41","0.3221"